Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal ,Descripcio_dia_setmana,NK_Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_Y_ED50,Coordenada_UTM_X_ED50,Longitud_WGS84,Latitud_WGS84
2025S003947,7,Horta-Guinardó,40,Montbau,701267,Dalt (Besòs),K117,Dissabte,2025,7,Juliol,5,15,Tarda,,,,,,2,428784.335,4587499.741,2.14647937,41.43406241
2025S003948,2,Eixample,6,la Sagrada Família,350308,València,,Dissabte,2025,7,Juliol,5,20,Tarda,,,,,,2,431371.112,4584089.393,2.17782513,41.40357189
2025S003949,3,Sants-Montjuïc,16,la Bordeta,235208,Olzinelles,81-83,Dissabte,2025,7,Juliol,5,16,Tarda,,,2,,2,1,427952.186,4580539.059,2.13734919,41.37129608
2025S003950,10,Sant Martí,68,el Poblenou,042306,Bilbao,119,Dissabte,2025,7,Juliol,5,16,Tarda,,,,,,4,433228.716,4584261.994,2.20002765,41.40528298
2025S003951,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,143904,General Mitre,145,Dissabte,2025,7,Juliol,5,19,Tarda,,,1,,1,2,428037.930,4584064.322,2.13795539,41.40305447
2025S003952,7,Horta-Guinardó,40,Montbau,701502,B-20 (Besòs),K116,Divendres,2025,7,Juliol,4,19,Tarda,,,1,,1,2,428744.954,4587406.843,2.14601901,41.43322222
2025S003953,2,Eixample,5,el Fort Pienc,071600,Casp,,Divendres,2025,7,Juliol,4,21,Tarda,,,1,,1,2,431464.855,4583206.914,2.17904648,41.39563167
2025S003954,3,Sants-Montjuïc,11,el Poble Sec,227505,Neptú,1,Divendres,2025,7,Juliol,4,21,Tarda,,,1,,1,2,429809.813,4580157.150,2.15960405,41.36802058
2025S003955,2,Eixample,7,la Dreta de l'Eixample,342900,Trafalgar,1,Divendres,2025,7,Juliol,4,22,Nit,Desobeir el senyal del semàfor,,2,,2,1,431044.074,4582481.065,2.17409621,41.38905817
2025S003956,10,Sant Martí,68,el Poblenou,055501,Calvell,45,Diumenge,2025,7,Juliol,6,15,Tarda,,,2,,2,3,433855.311,4583548.206,2.20760154,41.39890589
2025S003957,8,Nou Barris,45,Porta,186601,República,5,Diumenge,2025,7,Juliol,6,13,Matí,,,1,,1,1,431154.720,4587914.855,2.17480083,41.43800801
2025S003958,4,Les Corts,19,les Corts,144601,Diagonal,547,Diumenge,2025,7,Juliol,6,12,Matí,,,1,,1,2,427769.455,4582595.225,2.13491918,41.38979881
2025S003959,2,Eixample,7,la Dreta de l'Eixample,350308,València,,Dissabte,2025,7,Juliol,5,22,Nit,,,1,,1,2,430595.647,4583334.940,2.16863523,41.39671017
2025S003960,7,Horta-Guinardó,35,el Guinardó,152905,Guinardó,,Diumenge,2025,7,Juliol,6,12,Matí,,,1,,1,2,431075.246,4585522.420,2.17412253,41.41645336
2025S003961,10,Sant Martí,71,Provençals del Poblenou,042306,Bilbao,,Diumenge,2025,7,Juliol,6,0,Nit,,,1,,1,2,432901.433,4584611.258,2.19607368,41.40840144
2025S003962,4,Les Corts,19,les Corts,700783,Can Segalar,6-8,Dilluns,2025,7,Juliol,7,0,Nit,,,,,,3,427495.485,4582422.322,2.13166326,41.38821688
