numero_expedient,codi_districte,nom_districte,nom_barri,nom_carrer,nk_any,mes_any,nom_mes,dia_mes,hora_dia,descripcio_dia_setmana,descripcio_torn,descripcio_causa_vianant,numero_morts,numero_lesionats_lleus,numero_lesionats_greus,numero_victimes,numero_vehicles_implicats,longitud,latitud,fichero_origen,es_causa_vianant,fecha,dia_semana,fin_de_semana,franja_horaria,total_lesionados,gravedad,accidente_con_victimas
2024S005365,2,Eixample,la Sagrada Família,Còrsega,2024,9,Setembre,21,10,Dissabte,Matí,Transitar a peu per la calçada,0,1,1,2,2,2.17173566,41.40601347,2024_accidents_gu_bcn.csv,TRUE,2024-09-21,sábado,Fin de semana,Manana (06-12h),2,Grave,TRUE
2024S005366,2,Eixample,la Dreta de l'Eixample,Catalunya,2024,9,Setembre,20,19,Divendres,Tarda,No es causa del vianant,0,2,0,2,2,2.16886842,41.3876613,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),2,Leve,TRUE
2024S005367,2,Eixample,el Fort Pienc,Corts Catalanes,2024,9,Setembre,20,19,Divendres,Tarda,No es causa del vianant,0,2,0,2,2,2.18007765,41.39828275,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),2,Leve,TRUE
2024S005368,10,Sant Martí,el Parc i la Llacuna del Poblenou,Sardenya,2024,9,Setembre,20,21,Divendres,Tarda,No es causa del vianant,0,1,0,1,2,2.18686909,41.39312628,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005369,10,Sant Martí,la Vila Olímpica del Poblenou,B-10 (Llobregat),2024,9,Setembre,20,21,Divendres,Tarda,No es causa del vianant,0,1,0,1,2,2.20179961,41.39200089,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005370,3,Sants-Montjuïc,la Marina de Port,Radi,2024,9,Setembre,6,16,Divendres,Tarda,No es causa del vianant,0,1,0,1,2,2.13446656,41.36314502,2024_accidents_gu_bcn.csv,FALSE,2024-09-06,viernes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005371,4,Les Corts,la Maternitat i Sant Ramon,Diagonal,2024,9,Setembre,21,14,Dissabte,Tarda,No es causa del vianant,0,3,0,3,1,2.1265506,41.38767365,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Tarde (12-18h),3,Leve,TRUE
2024S005372,2,Eixample,l'Antiga Esquerra de l'Eixample,Francesc Macià,2024,9,Setembre,20,20,Divendres,Tarda,No es causa del vianant,0,1,0,1,2,2.1447395400000002,41.39222186,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005373,9,Sant Andreu,la Sagrera,Josep Estivill,2024,9,Setembre,21,13,Dissabte,Matí,No es causa del vianant,0,2,0,2,2,2.1890837,41.4187385,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Tarde (12-18h),2,Leve,TRUE
2024S005374,10,Sant Martí,Provençals del Poblenou,Josep Pla,2024,9,Setembre,20,20,Divendres,Tarda,No es causa del vianant,0,1,0,1,2,2.20963266,41.41349741,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005375,10,Sant Martí,el Poblenou,Pallars,2024,9,Setembre,21,1,Dissabte,Nit,No es causa del vianant,0,1,0,1,2,2.20397395,41.40581279,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Madrugada (00-06h),1,Leve,TRUE
2024S005376,3,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs),2024,9,Setembre,21,20,Dissabte,Tarda,No es causa del vianant,0,1,0,1,1,2.14914626,41.35007695,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Noche (18-24h),1,Leve,TRUE
2024S005377,2,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,2024,9,Setembre,20,23,Divendres,Nit,No es causa del vianant,0,1,0,1,2,2.15177918,41.3770412,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Noche (18-24h),1,Leve,TRUE
2024S005378,2,Eixample,la Dreta de l'Eixample,Roger de Flor,2024,9,Setembre,20,10,Divendres,Matí,No es causa del vianant,0,1,0,1,2,2.17430733,41.39754962,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005379,5,Sarrià-Sant Gervasi,Sarrià,Bosc,2024,9,Setembre,21,20,Dissabte,Tarda,No es causa del vianant,0,2,0,2,1,2.11247917,41.4089151,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Noche (18-24h),2,Leve,TRUE
2024S005380,2,Eixample,l'Antiga Esquerra de l'Eixample,Aragó,2024,9,Setembre,21,9,Dissabte,Matí,No es causa del vianant,0,2,0,2,2,2.15846428,41.38732773,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Manana (06-12h),2,Leve,TRUE
2024S005381,2,Eixample,la Dreta de l'Eixample,Diagonal,2024,9,Setembre,22,0,Diumenge,Nit,Altres,0,0,1,1,1,2.16651617,41.39830984,2024_accidents_gu_bcn.csv,TRUE,2024-09-22,domingo,Fin de semana,Madrugada (00-06h),1,Grave,TRUE
2024S005382,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Diagonal,2024,9,Setembre,21,23,Dissabte,Nit,No es causa del vianant,0,1,0,1,2,2.14498432,41.39285888,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Noche (18-24h),1,Leve,TRUE
2024S005383,10,Sant Martí,el Besòs i el Maresme,Litoral (Besòs),2024,9,Setembre,22,6,Diumenge,Matí,No es causa del vianant,0,2,0,2,2,2.2215676,41.40960573,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Manana (06-12h),2,Leve,TRUE
2024S005384,1,Ciutat Vella,el Raval,Portal de Santa Madrona,2024,9,Setembre,22,6,Diumenge,Matí,No es causa del vianant,0,2,0,2,2,2.1754237,41.37623405,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Manana (06-12h),2,Leve,TRUE
2024S005385,4,Les Corts,les Corts,Diagonal,2024,9,Setembre,21,20,Dissabte,Tarda,No es causa del vianant,0,2,0,2,2,2.13712502,41.39076907,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Noche (18-24h),2,Leve,TRUE
2024S005386,7,Horta-Guinardó,la Teixonera,Mare de Déu dels Àngels,2024,9,Setembre,21,6,Dissabte,Matí,No es causa del vianant,0,0,0,0,4,2.14689049,41.42129846,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Manana (06-12h),0,Leve,FALSE
2024S005387,3,Sants-Montjuïc,el Poble Sec,Estadi,2024,9,Setembre,20,13,Divendres,Matí,No es causa del vianant,0,1,0,1,2,2.15900081,41.36739874,2024_accidents_gu_bcn.csv,FALSE,2024-09-20,viernes,Laborable,Tarde (12-18h),1,Leve,TRUE
2024S005388,9,Sant Andreu,el Bon Pastor,Sant Adrià,2024,9,Setembre,22,5,Diumenge,Nit,No es causa del vianant,0,2,0,2,1,2.19878892,41.43543607,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Madrugada (00-06h),2,Leve,TRUE
2024S005389,7,Horta-Guinardó,el Carmel,Llobregós,2024,9,Setembre,21,12,Dissabte,Matí,No es causa del vianant,0,1,0,1,2,2.15378054,41.42302553,2024_accidents_gu_bcn.csv,FALSE,2024-09-21,sábado,Fin de semana,Tarde (12-18h),1,Leve,TRUE
2024S005390,7,Horta-Guinardó,el Guinardó,Teodor Llorente,2024,9,Setembre,22,11,Diumenge,Matí,No es causa del vianant,0,2,0,2,1,2.17655733,41.41826045,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Manana (06-12h),2,Leve,TRUE
2024S005391,4,Les Corts,la Maternitat i Sant Ramon,Diagonal,2024,9,Setembre,22,14,Diumenge,Tarda,No es causa del vianant,0,1,0,1,2,2.11702412,41.38534831,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Tarde (12-18h),1,Leve,TRUE
2024S005392,2,Eixample,la Dreta de l'Eixample,Aragó,2024,9,Setembre,22,16,Diumenge,Tarda,No es causa del vianant,0,0,1,1,4,2.16301688,41.39056275,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Tarde (12-18h),1,Grave,TRUE
2024S005393,3,Sants-Montjuïc,la Marina de Port,Ildefons Cerdà,2024,9,Setembre,22,18,Diumenge,Tarda,No es causa del vianant,0,1,0,1,1,2.13629766,41.36489771,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Noche (18-24h),1,Leve,TRUE
2024S005394,5,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Augusta,2024,9,Setembre,22,17,Diumenge,Tarda,No es causa del vianant,0,1,0,1,2,2.14999845,41.40098728,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Tarde (12-18h),1,Leve,TRUE
2024S005395,6,Gràcia,la Salut,Dalt,2024,9,Setembre,22,19,Diumenge,Tarda,No es causa del vianant,0,1,0,1,1,2.1568039,41.41091185,2024_accidents_gu_bcn.csv,FALSE,2024-09-22,domingo,Fin de semana,Noche (18-24h),1,Leve,TRUE
2024S005396,10,Sant Martí,el Besòs i el Maresme,C-31,2024,9,Setembre,23,0,Dilluns,Nit,No es causa del vianant,0,0,0,0,1,2.21168973,41.42181169,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Madrugada (00-06h),0,Leve,FALSE
2024S005397,1,Ciutat Vella,el Raval,Nou de la Rambla,2024,9,Setembre,23,6,Dilluns,Matí,No es causa del vianant,0,0,0,0,2,2.17133812,41.37635811,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Manana (06-12h),0,Leve,FALSE
2024S005398,3,Sants-Montjuïc,el Poble Sec,Litoral (Llobregat),2024,9,Setembre,23,6,Dilluns,Matí,No es causa del vianant,0,1,0,1,2,2.17025849,41.36382389,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005399,2,Eixample,Sant Antoni,Paral·lel,2024,9,Setembre,14,20,Dissabte,Tarda,No es causa del vianant,0,1,0,1,1,2.15379721,41.37520225,2024_accidents_gu_bcn.csv,FALSE,2024-09-14,sábado,Fin de semana,Noche (18-24h),1,Leve,TRUE
2024S005400,3,Sants-Montjuïc,Sants - Badal,Brasil,2024,9,Setembre,23,6,Dilluns,Matí,No es causa del vianant,0,1,0,1,2,2.12980454,41.37647242,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005401,2,Eixample,la Dreta de l'Eixample,Consell de Cent,2024,9,Setembre,23,9,Dilluns,Matí,No es causa del vianant,0,1,0,1,2,2.16549492,41.39079983,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Manana (06-12h),1,Leve,TRUE
2024S005402,7,Horta-Guinardó,el Carmel,Mare de Déu del Coll,2024,9,Setembre,23,9,Dilluns,Matí,No es causa del vianant,0,0,0,0,1,2.14970664,41.42069922,2024_accidents_gu_bcn.csv,FALSE,2024-09-23,lunes,Laborable,Manana (06-12h),0,Leve,FALSE
